"","Selected","lon","lat","parasit_yes","parasit","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"57","FI18_HA70232",22.49918,60.41889,0,0,5.07499980926514,8.10000038146973,25.8785934448242,8.14525817871094,21.6000003814697,-9.69999980926514,31.2999992370605,14.1166667938232,3.70000004768372,15.5,-4.53333330154419,660,78,33,29.7738075256348,219,110,203,144
"58","FI18_HA70233",22.49918,60.41889,0,0,5.07499980926514,8.10000038146973,25.8785934448242,8.14525817871094,21.6000003814697,-9.69999980926514,31.2999992370605,14.1166667938232,3.70000004768372,15.5,-4.53333330154419,660,78,33,29.7738075256348,219,110,203,144
"59","FI18_HA70244",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"60","FI18_HA70245",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"61","FI18_HA70246",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"62","FI18_HA70234",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"63","FI18_596153H",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"64","FI18_HA70281",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"65","FI18_HA70241",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"66","FI18_HA70239",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
